customer_id,age,gender,visits_last_month,avg_purchase_value,loyalty_score,discount_offer,churned,counterfactual_churned,noise,has_review,complaint_text,review_timestamp
CUST_00041,37,male,4,106.59,0.453,0,0,0,0.017,1,Okay experience overall.,2023-05-18
CUST_00042,34,male,5,106.28,0.487,1,0,0,0.0108,0,,
CUST_00043,32,male,4,101.52,0.461,0,1,0,-0.0316,1,Delivery was on time. Product was fine.,2023-06-08
CUST_00044,20,female,5,119.23,0.57,0,1,0,-0.0336,1,Delivery was on time. Product was fine.,2023-05-13
CUST_00045,28,female,6,81.23,0.479,0,0,0,0.0434,1,Okay experience overall.,2023-02-21
CUST_00046,30,male,3,93.98,0.429,1,0,1,-0.0494,1,Delivery was on time. Product was fine.,2023-05-27
CUST_00047,46,male,4,60.23,0.317,1,0,0,-0.0685,1,Okay experience overall.,2023-06-01
CUST_00048,38,male,6,92.65,0.466,1,1,1,-0.0388,1,Delivery was on time. Product was fine.,2023-04-14
CUST_00049,18,female,4,80.86,0.47,0,1,0,0.0433,0,,
CUST_00050,38,female,4,131.66,0.504,0,1,0,-0.0131,0,,
CUST_00051,31,male,5,56.13,0.389,1,0,1,-0.0282,0,,
CUST_00052,28,female,3,85.74,0.419,1,0,0,-0.0034,1,Delivery was on time. Product was fine.,2023-01-12
CUST_00053,41,male,5,84.27,0.412,0,1,0,0.0244,0,,
CUST_00054,45,non-binary,3,120.12,0.429,0,0,1,0.0767,0,,
CUST_00055,44,non-binary,3,61.71,0.305,1,0,0,0.0175,1,Delivery was on time. Product was fine.,2023-01-25
CUST_00056,27,female,10,100.11,0.618,0,0,1,0.098,0,,
CUST_00057,32,non-binary,3,102.36,0.44,0,0,0,0.0366,0,,
CUST_00058,38,female,4,127.71,0.496,1,1,1,-0.0149,0,,
CUST_00059,45,female,2,74.35,0.305,1,1,1,0.0446,0,,
CUST_00060,30,female,5,60.78,0.403,0,0,0,0.0318,0,,
CUST_00061,33,male,3,114.25,0.462,0,1,0,0.0581,0,,
CUST_00062,24,male,6,58.16,0.444,1,0,1,0.0368,0,,
CUST_00063,23,male,4,84.32,0.458,0,0,1,0.0057,0,,
CUST_00064,43,female,3,92.84,0.377,1,0,1,-0.024,0,,
CUST_00065,49,male,3,118.47,0.41,0,0,1,0.0067,1,Delivery was on time. Product was fine.,2023-05-03
CUST_00066,34,male,2,53.75,0.303,0,0,0,-0.0741,0,,
CUST_00067,45,female,2,91.12,0.342,1,0,0,-0.0081,1,"Nothing special, but not bad either.",2023-04-13
CUST_00068,39,male,2,100.78,0.386,0,0,0,-0.059,0,,
CUST_00069,29,female,6,74.17,0.46,0,1,0,0.0229,1,Okay experience overall.,2023-05-29
CUST_00070,39,non-binary,6,89.27,0.454,1,0,0,0.0417,0,,
CUST_00071,50,female,5,126.67,0.47,0,0,0,0.0158,0,,
CUST_00072,35,female,4,84.79,0.413,0,0,0,-0.0081,0,,
CUST_00073,51,female,4,89.08,0.361,1,0,0,-0.0143,0,,
CUST_00074,18,female,2,126.57,0.523,1,0,1,0.0601,0,,
CUST_00075,43,male,4,93.46,0.401,1,0,0,0.0493,1,"Nothing special, but not bad either.",2023-05-08
CUST_00076,36,female,9,140.15,0.647,0,0,0,-0.0531,0,,
CUST_00077,32,male,3,50.85,0.327,0,1,0,0.0128,0,,
CUST_00078,36,male,4,91.8,0.425,1,0,1,0.0163,1,Delivery was on time. Product was fine.,2023-04-04
CUST_00079,18,female,3,123.29,0.54,0,0,0,-0.0103,1,"Nothing special, but not bad either.",2023-03-18
CUST_00080,33,male,5,78.42,0.43,0,0,0,-0.0683,1,Okay experience overall.,2023-05-25
CUST_00081,39,male,6,92.97,0.462,0,0,1,-0.1027,0,,
CUST_00082,50,male,2,137.9,0.425,0,0,0,0.0086,0,,
CUST_00083,30,male,6,76.76,0.462,0,1,0,-0.0847,1,Okay experience overall.,2023-01-11
CUST_00084,27,male,4,114.48,0.509,0,0,0,-0.0262,1,Delivery was on time. Product was fine.,2023-02-20
CUST_00085,30,male,0,122.4,0.421,0,0,1,0.0342,1,"Nothing special, but not bad either.",2023-05-01
CUST_00086,44,female,2,102.3,0.37,1,0,0,0.0208,0,,
CUST_00087,38,female,4,101.2,0.438,0,0,1,-0.0298,1,"Nothing special, but not bad either.",2023-05-13
CUST_00088,30,male,4,69.25,0.399,1,1,0,0.0448,0,,
CUST_00089,40,female,5,121.93,0.499,0,1,0,0.0263,0,,
CUST_00090,36,male,7,62.37,0.43,0,0,0,-0.0244,1,"Nothing special, but not bad either.",2023-01-29
CUST_00091,45,male,6,111.74,0.48,1,1,1,0.0761,1,Okay experience overall.,2023-06-17
CUST_00092,28,male,7,84.45,0.509,0,0,0,0.0244,0,,
CUST_00093,32,female,5,88.16,0.456,1,0,0,-0.039,0,,
CUST_00094,31,male,6,93.96,0.495,1,0,0,-0.1026,1,Okay experience overall.,2023-01-26
CUST_00095,20,female,3,114.98,0.514,0,0,0,0.0112,0,,
CUST_00096,38,female,3,146.86,0.514,0,0,0,-0.0252,0,,
CUST_00097,38,female,3,103.34,0.419,0,1,1,0.001,0,,
CUST_00098,35,female,3,78.4,0.376,1,1,1,-0.0118,0,,
CUST_00099,33,non-binary,3,56.81,0.336,0,0,0,-0.1099,1,"Nothing special, but not bad either.",2023-06-05
CUST_00100,21,male,6,134.8,0.623,1,1,1,-0.0146,1,"Appreciate the offer, but found better pricing elsewhere.",2023-02-10
CUST_00101,31,male,4,105.26,0.473,1,0,0,-0.0551,0,,
CUST_00102,32,female,5,93.05,0.466,1,0,0,-0.0254,0,,
CUST_00103,27,female,0,101.76,0.388,0,0,0,-0.0289,0,,
CUST_00104,33,male,3,123,0.481,0,1,0,0.0032,1,Okay experience overall.,2023-02-07
CUST_00105,39,male,4,87.7,0.404,1,0,0,0.015,0,,
CUST_00106,54,female,1,80.02,0.26,1,0,0,0.0231,1,Good prices this time. Hoping it stays.,2023-05-07
CUST_00107,37,male,4,60.7,0.353,0,0,0,-0.1199,0,,
CUST_00108,38,male,6,67.62,0.411,1,0,0,0.0711,1,Okay experience overall.,2023-05-12
CUST_00109,34,non-binary,7,89.66,0.498,0,0,0,-0.0816,1,"Nothing special, but not bad either.",2023-05-30
CUST_00110,18,female,4,132.24,0.582,0,0,0,-0.0007,1,"Nothing special, but not bad either.",2023-05-02
CUST_00111,35,female,2,84.75,0.367,0,0,1,-0.0414,1,Delivery was on time. Product was fine.,2023-04-28
CUST_00112,36,female,3,107.82,0.436,1,0,1,0.0148,0,,
CUST_00113,60,female,3,133.74,0.401,0,1,1,-0.0915,1,"Nothing special, but not bad either.",2023-06-11
CUST_00114,33,male,4,111.45,0.479,1,0,0,0.0775,1,Okay experience overall.,2023-04-16
CUST_00115,38,male,3,159.21,0.541,0,0,0,-0.018,0,,
CUST_00116,35,female,1,102.03,0.381,1,0,1,0.025,1,Delivery was on time. Product was fine.,2023-04-10
CUST_00117,23,female,6,95.29,0.529,0,0,0,-0.04,1,"Nothing special, but not bad either.",2023-03-13
CUST_00118,46,male,5,88.55,0.403,0,1,1,0.083,0,,
CUST_00119,43,non-binary,7,159.77,0.616,0,0,0,-0.0686,0,,
CUST_00120,43,female,2,136.58,0.449,1,0,1,-0.1315,0,,
CUST_00121,26,male,6,56.22,0.432,0,0,0,0.0681,1,Delivery was on time. Product was fine.,2023-03-28
CUST_00122,49,male,2,163.3,0.484,1,0,0,-0.0588,1,Okay experience overall.,2023-05-11
CUST_00123,21,male,2,114.94,0.486,1,0,1,-0.0035,1,"Nothing special, but not bad either.",2023-02-06
CUST_00124,41,female,5,103.87,0.455,0,1,0,0.0779,0,,
CUST_00125,57,non-binary,4,115.55,0.396,0,0,0,-0.0203,0,,
CUST_00126,25,male,5,71.24,0.445,0,0,0,0.013,1,Okay experience overall.,2023-06-11
CUST_00127,29,non-binary,9,105.91,0.599,0,0,0,0.0407,1,Delivery was on time. Product was fine.,2023-03-19
CUST_00128,36,female,5,90.74,0.446,0,0,1,0.0015,1,"Nothing special, but not bad either.",2023-05-17
CUST_00129,30,female,3,89.19,0.419,0,0,0,0.0651,1,Delivery was on time. Product was fine.,2023-03-15
CUST_00130,19,female,3,128.77,0.548,0,0,1,0.0353,1,Delivery was on time. Product was fine.,2023-01-30
CUST_00131,36,male,1,92.07,0.355,0,1,0,-0.0447,0,,
CUST_00132,24,female,0,102.99,0.402,0,0,0,0.0366,1,"Nothing special, but not bad either.",2023-01-19
CUST_00133,40,male,3,109.83,0.425,0,0,0,-0.0017,1,Delivery was on time. Product was fine.,2023-04-23
CUST_00134,26,female,5,128.31,0.566,0,1,0,-0.0015,0,,
CUST_00135,50,male,1,138.04,0.402,0,1,1,0.0166,0,,
CUST_00136,27,female,2,100.44,0.432,0,1,0,0.046,0,,
CUST_00137,32,female,3,88.65,0.41,1,0,0,-0.0481,0,,
CUST_00138,43,male,4,157.11,0.541,1,1,0,0.0653,0,,
CUST_00139,23,male,4,22.59,0.323,1,0,0,0.0622,0,,
CUST_00140,37,female,5,126.02,0.519,1,0,0,-0.0316,1,Okay experience overall.,2023-03-14
CUST_00141,48,female,5,95.68,0.41,0,1,1,0.0879,1,Delivery was on time. Product was fine.,2023-06-12
CUST_00142,19,male,4,117.12,0.546,0,0,0,-0.0087,0,,
CUST_00143,37,female,5,101.23,0.465,0,1,1,0.0284,0,,
CUST_00144,38,male,5,138.44,0.542,0,0,0,-0.0231,1,Okay experience overall.,2023-05-12
CUST_00145,43,male,5,112.57,0.467,0,1,0,0.041,1,Okay experience overall.,2023-02-21
CUST_00146,23,male,4,57.37,0.4,1,0,1,-0.0222,1,Delivery was on time. Product was fine.,2023-04-21
CUST_00147,22,male,2,56.02,0.354,0,1,0,0.008,1,Okay experience overall.,2023-05-21
CUST_00148,40,female,4,93.55,0.413,0,0,0,-0.1309,1,"Nothing special, but not bad either.",2023-01-19
CUST_00149,38,non-binary,3,118.23,0.452,0,0,0,-0.0236,1,Okay experience overall.,2023-02-22
CUST_00150,38,male,10,139.22,0.661,0,1,0,-0.0283,0,,
CUST_00151,38,female,2,79.92,0.344,0,0,0,-0.0946,0,,
CUST_00152,28,male,8,33.66,0.422,0,1,0,0.0384,0,,
CUST_00153,37,female,1,112.93,0.397,1,1,0,-0.0193,1,Okay experience overall.,2023-06-10
CUST_00154,38,male,1,101.27,0.368,1,0,0,-0.0909,0,,
CUST_00155,28,female,5,104.3,0.506,0,0,0,0.0301,0,,
CUST_00156,54,non-binary,5,66.96,0.325,0,0,0,0.0545,0,,
CUST_00157,40,male,2,135.78,0.459,1,0,0,-0.0067,0,,
CUST_00158,23,female,5,75.51,0.463,1,0,0,-0.0755,0,,
CUST_00159,42,male,8,109.24,0.533,1,0,1,-0.0942,0,,
CUST_00160,25,male,8,108.27,0.596,0,1,0,-0.0612,1,Okay experience overall.,2023-04-06
CUST_00161,43,male,5,116.5,0.475,0,0,0,-0.0415,0,,
CUST_00162,47,male,3,77.66,0.328,0,0,0,0.0855,0,,
CUST_00163,27,male,5,72.3,0.44,1,1,0,-0.0102,1,"Nothing special, but not bad either.",2023-06-04
CUST_00164,45,male,3,125.59,0.441,0,1,0,-0.0636,1,"Nothing special, but not bad either.",2023-05-31
CUST_00165,39,male,5,116.58,0.491,1,1,0,-0.0307,0,,
CUST_00166,43,male,4,110.05,0.438,0,1,0,0.0535,1,"Nothing special, but not bad either.",2023-03-24
CUST_00167,54,female,2,133.77,0.401,0,1,1,0.0278,1,Delivery was on time. Product was fine.,2023-06-07
CUST_00168,33,non-binary,10,110.25,0.617,0,1,0,0.0023,1,"Nothing special, but not bad either.",2023-04-03
CUST_00169,27,male,3,88.9,0.43,0,0,0,-0.0084,0,,
CUST_00170,26,male,3,115.54,0.492,0,0,0,0.0002,1,Okay experience overall.,2023-06-05
CUST_00171,27,male,6,113.51,0.554,0,0,0,0.0078,1,"Nothing special, but not bad either.",2023-05-08
CUST_00172,34,female,5,114.27,0.505,1,0,1,-0.0097,0,,
CUST_00173,38,female,7,73.51,0.447,1,0,1,0.0051,0,,
CUST_00174,38,female,4,70.63,0.371,0,1,0,-0.015,1,"Nothing special, but not bad either.",2023-06-03
CUST_00175,43,male,5,126.4,0.497,1,0,0,-0.0428,0,,
CUST_00176,35,male,3,95.55,0.413,0,0,0,-0.0132,1,Okay experience overall.,2023-01-23
CUST_00177,50,male,2,41.7,0.215,0,1,0,0.0165,1,I keep buying but never get discounts. Done.,2023-04-20
CUST_00178,32,non-binary,2,58.86,0.321,0,0,0,-0.0364,1,"Nothing special, but not bad either.",2023-04-20
CUST_00179,62,female,4,60.44,0.256,1,0,0,0.021,1,"Got a discount, so I stayed.",2023-05-18
CUST_00180,41,male,5,132.02,0.517,0,0,0,0.0415,1,Delivery was on time. Product was fine.,2023-03-12
CUST_00181,26,female,5,98.55,0.501,0,0,1,0.0171,0,,
CUST_00182,24,male,6,101.06,0.538,0,0,0,-0.0281,0,,
CUST_00183,40,male,7,89.4,0.474,0,0,0,0.0048,1,Delivery was on time. Product was fine.,2023-02-19
CUST_00184,33,female,6,68.24,0.431,0,1,1,0.0077,1,Okay experience overall.,2023-03-05
CUST_00185,42,female,2,122.79,0.423,0,0,0,0.01,0,,
CUST_00186,40,male,1,119.57,0.4,0,0,0,0.0745,1,Delivery was on time. Product was fine.,2023-03-09
CUST_00187,34,male,5,78.86,0.428,0,0,0,-0.0579,1,Delivery was on time. Product was fine.,2023-01-29
CUST_00188,27,female,6,142.06,0.616,0,0,0,0.0103,1,Very happy with the service and fast delivery!,2023-06-16
CUST_00189,20,female,4,122.35,0.553,0,0,0,-0.02,1,Delivery was on time. Product was fine.,2023-02-13
CUST_00190,31,female,6,74.38,0.453,1,0,0,-0.0623,0,,
CUST_00191,44,male,7,91.38,0.463,0,0,0,-0.0629,0,,
CUST_00192,37,male,2,88.96,0.368,0,1,0,0.0439,1,Delivery was on time. Product was fine.,2023-05-23
CUST_00193,23,non-binary,5,109.37,0.537,0,0,0,-0.0702,1,Okay experience overall.,2023-01-24
CUST_00194,37,female,2,57.14,0.299,0,0,0,0.0149,1,Wasn't expecting much but they surprised me.,2023-05-11
CUST_00195,39,male,6,78.85,0.432,0,1,0,0.0066,0,,
CUST_00196,26,female,7,123.83,0.603,0,0,0,-0.0429,1,Love the discounts — will stay loyal.,2023-05-18
CUST_00197,37,female,4,52.39,0.335,0,1,0,0.0418,1,"Nothing special, but not bad either.",2023-03-30
CUST_00198,36,male,5,94.07,0.453,1,0,0,-0.0591,0,,
CUST_00199,24,male,4,63.21,0.408,0,1,0,-0.0275,1,"Nothing special, but not bad either.",2023-03-08
CUST_00200,39,female,4,127.4,0.491,0,0,0,-0.0546,1,Delivery was on time. Product was fine.,2023-05-02
CUST_00201,41,female,2,110.3,0.399,1,0,0,0.0382,0,,
CUST_00202,46,female,4,55.97,0.308,1,0,0,0.0592,1,Delivery was on time. Product was fine.,2023-01-20
CUST_00203,46,female,8,68.73,0.429,1,0,1,0.0124,1,Delivery was on time. Product was fine.,2023-04-11
CUST_00204,21,male,2,100.42,0.455,0,0,0,0.127,1,Okay experience overall.,2023-02-03
CUST_00205,26,male,1,30.79,0.26,1,1,1,0.0223,1,I keep buying but never get discounts. Done.,2023-02-18
CUST_00206,40,non-binary,7,67,0.425,0,0,1,0.0316,0,,
CUST_00207,40,male,2,75.28,0.327,1,0,0,0.0503,1,"Nothing special, but not bad either.",2023-04-12
CUST_00208,40,female,2,138.55,0.465,0,1,0,-0.0336,0,,
CUST_00209,70,female,3,82.7,0.251,0,0,0,0.0204,0,,
CUST_00210,41,female,5,119.78,0.49,0,0,0,-0.0483,1,Okay experience overall.,2023-04-04
CUST_00211,46,male,4,85.81,0.373,0,1,0,-0.0659,1,Okay experience overall.,2023-04-17
CUST_00212,45,female,5,122.34,0.48,1,0,1,0.0546,1,Okay experience overall.,2023-05-07
CUST_00213,42,female,6,53.43,0.364,0,0,0,-0.0425,1,"Nothing special, but not bad either.",2023-01-23
CUST_00214,32,female,3,78.3,0.387,0,1,0,0.0092,0,,
CUST_00215,43,female,4,96.72,0.409,0,1,0,0.0816,1,"Nothing special, but not bad either.",2023-05-24
CUST_00216,27,male,4,105.34,0.489,0,0,0,-0.0906,0,,
CUST_00217,33,male,4,109.71,0.475,0,0,0,0.0326,0,,
CUST_00218,30,male,3,105.78,0.455,0,1,1,-0.0011,0,,
CUST_00219,36,male,5,115.18,0.499,1,0,0,-0.0035,1,"Nothing special, but not bad either.",2023-04-12
CUST_00220,58,non-binary,6,99.65,0.404,0,0,0,0.003,1,Okay experience overall.,2023-02-22
CUST_00221,18,female,6,105.22,0.57,1,0,1,0.0009,0,,
CUST_00222,42,female,2,69.6,0.307,0,1,0,0.0262,1,Okay experience overall.,2023-05-07
CUST_00223,19,female,6,51.46,0.449,0,1,0,-0.0526,1,Delivery was on time. Product was fine.,2023-03-04
CUST_00224,30,male,5,66.46,0.416,0,0,0,0.0251,0,,
CUST_00225,46,non-binary,4,49.39,0.294,1,0,1,-0.0564,1,"Got a discount, so I stayed.",2023-01-20
CUST_00226,36,male,6,106.73,0.504,0,0,1,0.1052,1,"Nothing special, but not bad either.",2023-02-02
CUST_00227,24,male,0,128.17,0.457,0,0,1,-0.0052,1,Okay experience overall.,2023-02-05
CUST_00228,28,female,5,71.56,0.435,1,0,0,0.009,1,Delivery was on time. Product was fine.,2023-05-08
CUST_00229,42,female,2,130.26,0.439,1,0,0,0.0885,0,,
CUST_00230,28,female,6,113.55,0.55,0,0,0,-0.0387,1,"Nothing special, but not bad either.",2023-01-14
CUST_00231,37,male,7,83.39,0.473,0,1,0,-0.0006,0,,
CUST_00232,35,female,4,89.52,0.424,0,1,0,-0.0705,1,"Nothing special, but not bad either.",2023-05-14
CUST_00233,28,male,4,133.46,0.547,0,0,0,-0.0485,0,,
CUST_00234,56,male,7,30.29,0.283,0,1,0,-0.0712,1,I keep buying but never get discounts. Done.,2023-06-17
CUST_00235,41,female,2,133.34,0.45,0,0,1,0.0399,1,"Nothing special, but not bad either.",2023-05-21
CUST_00236,18,female,6,126.88,0.617,0,1,0,0.0285,1,Okay experience overall.,2023-06-13
CUST_00237,37,female,2,82.32,0.354,1,0,0,-0.0219,1,"Nothing special, but not bad either.",2023-06-01
CUST_00238,28,female,5,97.21,0.491,0,1,0,-0.0253,0,,
CUST_00239,44,female,4,148.8,0.519,0,1,0,0.0485,1,Okay experience overall.,2023-01-12
CUST_00240,27,female,3,60.7,0.368,0,0,0,-0.0003,0,,
CUST_00241,34,female,1,94.54,0.368,0,0,0,-0.0434,1,Okay experience overall.,2023-02-24
CUST_00242,40,female,2,119.42,0.423,0,0,0,0.0537,0,,
CUST_00243,44,non-binary,3,106.29,0.402,1,1,0,-0.0071,0,,
CUST_00244,23,non-binary,3,101.56,0.473,1,0,1,0.0339,1,Delivery was on time. Product was fine.,2023-03-01
CUST_00245,32,male,2,154.5,0.531,0,1,1,0.0036,0,,
CUST_00246,30,female,8,66.75,0.486,0,1,0,0.1039,0,,
CUST_00247,28,female,5,68.1,0.427,0,0,0,-0.0103,1,Delivery was on time. Product was fine.,2023-01-14
CUST_00248,53,male,4,24.61,0.213,0,0,0,-0.1004,0,,
CUST_00249,39,female,2,67.64,0.314,0,0,0,-0.0114,0,,
CUST_00250,22,male,6,80.05,0.5,0,0,0,0.0133,0,,
CUST_00251,44,female,4,109.6,0.433,0,0,1,0.023,0,,
CUST_00252,56,female,4,128.79,0.429,0,1,0,0.0404,0,,
CUST_00253,45,male,3,71.08,0.322,0,0,0,-0.029,0,,
CUST_00254,20,male,3,95.72,0.472,1,0,0,0.0782,1,Delivery was on time. Product was fine.,2023-05-27
CUST_00255,30,non-binary,5,141.88,0.581,1,0,1,0.0482,1,"Nothing special, but not bad either.",2023-05-28
CUST_00256,48,male,4,94.38,0.384,1,0,1,0.0065,0,,
CUST_00257,28,male,3,115.56,0.484,0,0,0,-0.0347,1,Delivery was on time. Product was fine.,2023-05-14
CUST_00258,39,male,2,133.63,0.458,0,1,1,0.0964,0,,
CUST_00259,43,female,4,72.1,0.355,1,0,0,0.0365,1,Delivery was on time. Product was fine.,2023-05-26
CUST_00260,26,female,3,66,0.384,0,1,0,-0.0246,0,,
CUST_00261,34,female,5,148.63,0.58,1,1,0,0.0701,1,"Nothing special, but not bad either.",2023-04-01
CUST_00262,18,female,4,117.38,0.55,0,0,0,0.011,1,Delivery was on time. Product was fine.,2023-03-10
CUST_00263,25,female,2,60.19,0.351,1,1,1,0.0755,1,"Nothing special, but not bad either.",2023-05-08
CUST_00264,32,female,1,68.3,0.319,0,0,1,-0.0422,0,,
CUST_00265,23,male,6,93.99,0.526,1,0,0,-0.01,0,,
CUST_00266,51,female,3,141.81,0.453,0,1,1,0.0691,1,"Nothing special, but not bad either.",2023-04-27
CUST_00267,21,female,2,129.45,0.518,0,1,0,-0.0334,0,,
CUST_00268,31,female,2,132.01,0.485,1,0,0,-0.0127,0,,
CUST_00269,36,male,4,86.91,0.414,0,0,0,-0.1369,0,,
CUST_00270,49,male,5,99.77,0.416,0,0,0,0.0206,0,,
CUST_00271,21,male,5,76.05,0.471,0,1,0,0.0577,0,,
CUST_00272,47,male,3,87.53,0.35,0,0,0,-0.0461,1,Okay experience overall.,2023-01-29
CUST_00273,35,female,3,66.32,0.35,0,0,0,0.0224,1,Okay experience overall.,2023-02-01
CUST_00274,25,male,2,73.84,0.381,0,0,0,-0.0271,1,Delivery was on time. Product was fine.,2023-04-19
CUST_00275,40,female,3,78.22,0.356,1,0,0,-0.0755,0,,
CUST_00276,37,male,4,95.65,0.429,0,1,0,-0.0163,1,"Nothing special, but not bad either.",2023-06-12
CUST_00277,29,male,6,112.62,0.544,1,1,0,-0.0287,1,Okay experience overall.,2023-04-04
CUST_00278,36,female,3,149.99,0.529,1,1,0,0.0064,1,Okay experience overall.,2023-03-04
CUST_00279,31,male,5,89.03,0.461,1,1,0,-0.0153,1,Okay experience overall.,2023-02-04
CUST_00280,36,female,5,117.64,0.505,1,0,1,0.0669,1,Okay experience overall.,2023-06-02
CUST_00281,42,male,4,94.62,0.408,0,1,0,-0.0279,0,,
CUST_00282,51,male,4,128.89,0.448,0,1,0,-0.0065,1,Delivery was on time. Product was fine.,2023-02-06
CUST_00283,23,female,2,62.34,0.364,0,1,1,0.012,0,,
CUST_00284,56,female,4,83.93,0.331,0,0,0,-0.0025,1,Okay experience overall.,2023-05-23
CUST_00285,18,male,3,119.89,0.532,0,1,0,-0.0268,0,,
CUST_00286,33,male,6,117.45,0.539,1,0,0,0.0026,1,Delivery was on time. Product was fine.,2023-06-07
CUST_00287,41,female,3,118,0.439,0,1,0,0.0262,1,"Nothing special, but not bad either.",2023-02-04
CUST_00288,38,non-binary,1,142.28,0.457,1,0,0,0.0449,1,Delivery was on time. Product was fine.,2023-06-14
CUST_00289,29,female,3,47.99,0.333,0,0,1,-0.1059,0,,
CUST_00290,33,male,3,62.37,0.349,0,1,0,0.0253,0,,
CUST_00291,30,non-binary,5,116.84,0.526,1,1,0,-0.0337,1,Okay experience overall.,2023-01-19
CUST_00292,29,male,6,124.4,0.57,0,1,1,0.0579,0,,
CUST_00293,43,male,8,119.65,0.552,1,1,0,0.0466,1,"Nothing special, but not bad either.",2023-03-14
CUST_00294,39,female,3,181.26,0.585,0,0,1,0.0463,1,"Nothing special, but not bad either.",2023-05-10
CUST_00295,28,male,2,72.52,0.367,1,0,0,-0.0292,1,Delivery was on time. Product was fine.,2023-03-22
CUST_00296,44,male,6,111.08,0.483,0,1,1,-0.0696,1,"Nothing special, but not bad either.",2023-01-30
CUST_00297,38,male,4,97.87,0.43,1,0,1,0.0636,0,,
CUST_00298,43,male,7,118.64,0.527,0,0,0,0.0584,0,,
CUST_00299,41,female,3,111.27,0.425,1,0,1,-0.1002,0,,
CUST_00300,27,female,6,84.47,0.49,1,0,0,0.0688,0,,
CUST_00301,29,male,7,111.63,0.565,1,0,0,0.0177,1,Delivery was on time. Product was fine.,2023-06-16
CUST_00302,42,female,3,102.5,0.402,0,0,0,0.0066,0,,
