customer_id,age,gender,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,preferred_payment,preferred_category,delivery_distance_km,satisfaction_score,loyalty_score,discount_offer,churned,counterfactual_churned,p_churn_model,p_churn_cf_model,has_review,review_text,review_score
CUST_000026,23,female,17.2,6.2,3,65.17,3,UPI,Laptop & Accessory,9.9,3,0.43,0,1,0,0.7186,0.5056,0,,
CUST_000027,40,female,30.8,5.8,2,115.04,2,Cash on Delivery,Grocery,3.8,4,0.472,1,0,0,0.2208,0.4194,1,Nothing special but acceptable.,3
CUST_000028,29,male,5.9,3.3,3,246.54,3,E Wallet,Mobile,13.8,4,0.3,1,1,0,0.2555,0.4453,1,Switching for better prices.,2
CUST_000029,33,female,32.8,5,4,185.44,3,Credit Card,Grocery,17.8,3,0.606,0,0,1,0.1298,0.0519,1,Great perks—staying!,4
CUST_000030,29,female,10.1,5,5,48.32,3,Debit Card,Fashion,10.3,2,0.219,0,0,0,0.6806,0.4867,0,,
CUST_000031,56,male,38.1,10.2,5,128.68,4,UPI,Laptop & Accessory,5,5,0.744,1,0,0,0.0711,0.1827,1,Great perks—staying!,4
CUST_000032,36,female,7.8,4.6,2,70.62,2,Debit Card,Laptop & Accessory,12.4,3,0.267,0,0,0,0.2892,0.1502,1,Experience was fine overall.,3
CUST_000033,24,male,16.2,8.1,3,138.58,3,Debit Card,Mobile,5.2,5,0.752,0,0,0,0.2589,0.1064,0,,
CUST_000034,45,female,22.9,6.2,2,137.05,3,E Wallet,Laptop & Accessory,13.7,3,0.449,0,0,0,0.2841,0.136,0,,
CUST_000035,23,female,61.2,6.9,5,216.89,4,UPI,Home & Kitchen,6.1,4,0.838,1,0,1,0.105,0.2642,0,,
CUST_000036,38,male,22.3,5.6,4,198.84,3,E Wallet,Laptop & Accessory,14,4,0.395,1,0,0,0.2853,0.4948,1,Experience was fine overall.,3
CUST_000037,18,female,6.8,3.5,3,140.61,1,Cash on Delivery,Grocery,1.2,4,0.385,1,0,1,0.1015,0.2161,1,Experience was fine overall.,3
CUST_000038,21,male,11,4.4,0,84.39,1,Credit Card,Mobile,24.6,3,0.201,1,1,0,0.3258,0.5183,1,Not satisfied—leaving.,1
CUST_000039,38,female,12.2,4.4,1,84.19,2,UPI,Mobile,14.8,2,0.358,1,0,0,0.1277,0.2606,0,,
CUST_000040,44,male,11.5,2.8,4,50.16,2,UPI,Grocery,14.8,2,0.374,1,1,0,0.2824,0.4886,1,Service okay—still leaving.,2
CUST_000041,38,male,10.5,7.9,4,107.45,1,Debit Card,Mobile,13,5,0.246,0,0,0,0.5891,0.3863,1,Experience was fine overall.,3
CUST_000042,35,male,9.3,5.9,7,110.28,2,UPI,Laptop & Accessory,14.8,4,0.395,0,1,1,0.5164,0.3032,0,,
CUST_000043,33,male,14.2,4.8,3,41.7,2,Debit Card,Fashion,5.8,3,0.399,1,0,0,0.2155,0.4031,0,,
CUST_000044,20,female,26.2,6.9,3,163.3,3,E Wallet,Laptop & Accessory,11.1,5,0.537,1,0,0,0.4194,0.6555,0,,
CUST_000045,28,female,29.2,5.5,3,87.74,3,E Wallet,Fashion,7.7,4,0.549,1,1,0,0.1198,0.2651,1,Service okay—still leaving.,2
CUST_000046,31,male,6.2,1.4,2,54.81,1,Credit Card,Mobile,3.1,2,0.166,0,1,0,0.3457,0.1945,0,,
CUST_000047,48,male,11.3,10.1,6,99.35,2,UPI,Grocery,15.3,4,0.41,1,0,0,0.1863,0.3615,0,,
CUST_000048,40,male,11,5.9,6,47.64,1,UPI,Home & Kitchen,4.8,4,0.367,0,1,0,0.2292,0.1094,1,"App was fine, but moving on.",2
CUST_000049,18,female,4.9,4.4,3,64.29,2,Debit Card,Mobile,12.5,4,0.316,0,1,0,0.333,0.1747,1,Service okay—still leaving.,2
CUST_000050,40,female,9.2,2.7,2,60.47,3,Debit Card,Mobile,13.6,2,0.277,0,0,0,0.215,0.1059,1,Nothing special but acceptable.,3
CUST_000051,32,male,10.8,3.4,2,61.25,1,E Wallet,Home & Kitchen,11.9,2,0.332,1,1,0,0.1262,0.2556,0,,
CUST_000052,29,female,13.9,8.3,11,57.63,3,Debit Card,Home & Kitchen,10.9,3,0.716,0,1,0,0.5063,0.2626,0,,
CUST_000053,43,male,17.6,8.3,4,84.57,2,UPI,Laptop & Accessory,10.2,5,0.515,0,0,0,0.1618,0.069,1,Nothing special but acceptable.,3
CUST_000054,47,female,18,7.2,2,137.52,3,Credit Card,Grocery,12.8,4,0.479,0,0,0,0.2688,0.1256,0,,
CUST_000055,46,female,14,4.2,4,57.64,2,UPI,Laptop & Accessory,10.8,3,0.347,0,0,0,0.2688,0.133,1,Nothing special but acceptable.,3
CUST_000056,27,female,16.8,8.3,7,68.82,2,Debit Card,Home & Kitchen,17.1,3,0.531,0,0,0,0.2936,0.1366,0,,
CUST_000057,33,female,23.7,7.1,4,60.9,3,UPI,Mobile,8.5,4,0.427,0,0,0,0.3067,0.1507,0,,
CUST_000058,40,female,12.4,6.7,6,134.33,2,Credit Card,Laptop & Accessory,15.7,3,0.547,1,1,0,0.1728,0.3561,1,Switching for better prices.,2
CUST_000059,47,female,11,6.3,5,76.17,2,Cash on Delivery,Fashion,9.1,3,0.502,1,0,0,0.1288,0.2767,1,Experience was fine overall.,3
CUST_000060,31,female,9.2,3.3,3,106.96,1,Credit Card,Fashion,5.3,3,0.53,0,0,0,0.3721,0.1842,0,,
CUST_000061,34,male,8,3.7,0,73.52,1,Credit Card,Laptop & Accessory,6.1,4,0.228,0,0,0,0.2693,0.1404,0,,
CUST_000062,24,male,10,4.8,1,175.95,3,Debit Card,Fashion,6,4,0.404,0,1,0,0.3927,0.2078,0,,
CUST_000063,23,male,5.1,6.3,4,81.1,1,Debit Card,Grocery,14.4,3,0.565,0,0,0,0.4466,0.232,0,,
CUST_000064,45,female,15.8,3.9,3,153.45,3,E Wallet,Laptop & Accessory,4.5,4,0.374,0,0,0,0.2282,0.1086,0,,
CUST_000065,51,male,13.8,5.6,1,138.01,1,Debit Card,Laptop & Accessory,11.8,4,0.357,0,0,0,0.343,0.1782,0,,
CUST_000066,35,male,20.2,5.9,3,81.52,2,E Wallet,Home & Kitchen,15.3,3,0.299,0,1,0,0.456,0.2639,0,,
CUST_000067,47,male,10.4,6.8,3,66.09,1,Credit Card,Grocery,1,3,0.299,0,0,0,0.6203,0.4113,1,Average service.,3
CUST_000068,40,male,16.3,7,4,76.14,3,UPI,Mobile,13.6,4,0.452,0,1,0,0.4417,0.2386,1,Service okay—still leaving.,2
CUST_000069,29,female,6.9,3.9,2,76.36,1,UPI,Laptop & Accessory,20.3,2,0.243,1,0,1,0.2518,0.4335,1,Average service.,3
CUST_000070,40,female,8.2,7.7,5,166.99,2,Credit Card,Laptop & Accessory,11.1,5,0.488,1,0,1,0.1543,0.3193,1,Experience was fine overall.,3
CUST_000071,53,female,32.2,5.2,7,158.27,5,Credit Card,Grocery,14.7,3,0.492,1,0,1,0.2425,0.4519,1,Experience was fine overall.,3
CUST_000072,36,female,18.2,7.7,0,112.54,2,UPI,Fashion,12.7,4,0.405,0,1,0,0.1689,0.0761,0,,
CUST_000073,53,female,12.9,4.9,2,72.02,3,Credit Card,Mobile,8.3,3,0.383,0,1,0,0.3722,0.1956,1,Service okay—still leaving.,2
CUST_000074,18,female,12.9,6,4,62.6,2,Debit Card,Fashion,7.9,4,0.494,1,0,0,0.13,0.2781,1,Average service.,3
CUST_000075,45,male,19,6.5,4,49.05,4,UPI,Mobile,12.8,3,0.422,0,0,1,0.5204,0.3038,0,,
CUST_000076,37,female,13.7,6.1,2,78.52,4,Debit Card,Home & Kitchen,6.7,3,0.521,0,0,0,0.4788,0.2601,1,Average service.,3
CUST_000077,33,male,11.6,6.7,5,70.1,2,Credit Card,Mobile,7.3,4,0.43,1,1,1,0.4439,0.6659,0,,
CUST_000078,37,male,29.1,7.3,5,175.77,4,Credit Card,Laptop & Accessory,13,4,0.758,1,0,1,0.0362,0.0996,1,Very satisfied with value.,4
CUST_000079,18,female,4.8,6.5,3,109.44,4,Credit Card,Fashion,6,3,0.368,0,1,0,0.3169,0.1608,1,"App was fine, but moving on.",2
CUST_000080,34,male,11.6,6.4,3,89.08,3,Credit Card,Mobile,13.3,3,0.436,1,0,0,0.0972,0.2124,1,Experience was fine overall.,3
CUST_000081,40,male,12.2,3.8,5,131.59,2,Credit Card,Fashion,7.4,3,0.507,0,0,0,0.1756,0.0758,0,,
CUST_000082,52,male,26.3,7,1,174.37,2,Credit Card,Laptop & Accessory,7.3,4,0.466,0,0,0,0.359,0.1805,1,Average service.,3
CUST_000083,30,male,30.2,6,5,92.94,2,Credit Card,Mobile,10.2,3,0.519,0,0,0,0.4898,0.2689,1,Experience was fine overall.,3
CUST_000084,27,male,23.5,4.7,6,89.51,2,Credit Card,Grocery,12.4,3,0.525,1,0,1,0.1826,0.3691,1,Experience was fine overall.,3
CUST_000085,30,male,21.3,5.8,3,51.21,5,Credit Card,Laptop & Accessory,9.1,2,0.441,0,0,1,0.3508,0.1771,0,,
CUST_000086,46,female,53.1,8.5,5,209.42,6,UPI,Fashion,17.2,5,0.695,1,0,0,0.1009,0.2423,0,,
CUST_000087,40,female,20.1,6.6,3,146.64,3,Credit Card,Home & Kitchen,4.9,4,0.636,1,0,1,0.0965,0.2281,1,Very satisfied with value.,4
CUST_000088,30,male,19.3,7.7,11,73.76,2,Credit Card,Home & Kitchen,21.9,4,0.582,0,0,0,0.272,0.1218,0,,
CUST_000089,42,female,49.4,9.9,5,169.27,6,E Wallet,Laptop & Accessory,15,4,0.608,1,0,1,0.2099,0.4203,0,,
CUST_000090,37,male,7.4,5.9,2,30.77,2,Debit Card,Home & Kitchen,11.2,3,0.357,1,0,1,0.2189,0.4028,1,Experience was fine overall.,3
CUST_000091,47,male,20.2,7,4,76.65,2,Debit Card,Fashion,13,4,0.319,0,0,1,0.6592,0.4502,0,,
CUST_000092,28,male,18.2,6.2,3,96.36,1,UPI,Home & Kitchen,1.6,4,0.565,1,0,1,0.1992,0.3991,1,Average service.,3
CUST_000093,32,female,30.9,8,4,115.08,2,Debit Card,Fashion,3.2,3,0.551,0,1,0,0.5512,0.3165,0,,
CUST_000094,32,male,27.5,7.4,3,149.42,3,Debit Card,Laptop & Accessory,8.7,5,0.571,0,1,0,0.5234,0.2907,0,,
CUST_000095,20,female,21,6.2,2,64.88,3,Credit Card,Grocery,8.9,3,0.312,1,0,0,0.2693,0.4645,1,Average service.,3
CUST_000096,39,female,37,10.4,3,133.4,5,Credit Card,Mobile,19.1,4,0.53,1,1,1,0.1356,0.2917,0,,
CUST_000097,39,female,15.6,5.1,8,133.14,4,UPI,Laptop & Accessory,11.9,3,0.551,1,0,0,0.125,0.2749,1,Nothing special but acceptable.,3
CUST_000098,36,female,7.1,7.6,3,79.64,1,Debit Card,Mobile,14.7,4,0.498,1,0,1,0.1331,0.2839,0,,
CUST_000099,33,female,6.3,3.3,1,71.59,1,UPI,Mobile,9.9,2,0.288,0,0,0,0.2938,0.1517,1,Average service.,3
CUST_000100,20,male,10.4,6.8,3,52.01,4,Credit Card,Mobile,6.3,3,0.458,1,0,0,0.2635,0.4753,1,Experience was fine overall.,3
CUST_000101,31,male,11.4,7.8,5,69.41,3,E Wallet,Laptop & Accessory,12.7,5,0.292,1,0,0,0.2621,0.4529,1,Nothing special but acceptable.,3
CUST_000102,32,female,11.9,2.9,6,36.93,1,E Wallet,Mobile,10.7,1,0.525,0,0,0,0.5308,0.3017,1,Average service.,3
CUST_000103,27,female,9.6,5.8,3,81.81,3,Debit Card,Home & Kitchen,11.9,3,0.402,0,1,0,0.3741,0.1953,0,,
CUST_000104,34,male,31.5,8,4,105.28,3,Credit Card,Grocery,8.8,5,0.528,0,0,1,0.4754,0.2568,1,Nothing special but acceptable.,3
CUST_000105,40,male,12.6,6.1,0,79.83,2,UPI,Mobile,3.7,3,0.411,0,0,0,0.4062,0.2167,1,Experience was fine overall.,3
CUST_000106,57,male,32.3,7.5,2,83.07,4,Debit Card,Home & Kitchen,20.8,3,0.445,0,0,0,0.2938,0.1419,1,Average service.,3
CUST_000107,38,male,30.9,7.1,5,97.8,3,Credit Card,Mobile,6.6,4,0.631,1,1,1,0.2397,0.4653,0,,
CUST_000108,39,male,14.8,4.2,4,100.83,2,Cash on Delivery,Mobile,9.4,4,0.466,0,1,0,0.2836,0.1347,0,,
CUST_000109,35,female,12.7,9.3,3,117.32,2,Credit Card,Fashion,12.5,4,0.597,0,0,0,0.4126,0.2056,1,Experience was fine overall.,3
CUST_000110,18,female,16.3,5.2,3,47.59,3,UPI,Laptop & Accessory,1.1,4,0.461,1,0,1,0.1899,0.3728,0,,
CUST_000111,36,female,19.4,6.8,6,77.22,2,UPI,Mobile,16.9,4,0.62,0,1,0,0.4382,0.2212,0,,
CUST_000112,37,female,11.3,4.7,4,46.72,2,UPI,Home & Kitchen,5.6,3,0.421,1,0,1,0.2074,0.3941,0,,
CUST_000113,63,female,15.7,2.5,3,75.28,2,Cash on Delivery,Grocery,14.4,2,0.467,0,1,0,0.3224,0.1576,1,Service okay—still leaving.,2
CUST_000114,34,male,9.6,4.2,0,143.18,1,UPI,Fashion,3,3,0.375,0,1,0,0.4509,0.2526,0,,
CUST_000115,39,male,9.3,3.4,1,98.2,2,E Wallet,Home & Kitchen,13.3,2,0.299,1,0,0,0.2096,0.3828,1,Average service.,3
CUST_000116,36,female,10.5,7.3,3,75.45,3,Debit Card,Grocery,1,4,0.504,0,0,0,0.2682,0.1239,0,,
CUST_000117,23,female,6.4,4.5,5,63.54,2,Credit Card,Fashion,16.4,2,0.479,0,0,0,0.324,0.1578,1,Nothing special but acceptable.,3
CUST_000118,49,male,20.9,5.5,4,76.79,2,Credit Card,Laptop & Accessory,11.8,3,0.467,1,0,0,0.2372,0.4416,1,Nothing special but acceptable.,3
CUST_000119,44,non-binary,40.2,5.8,3,80.32,4,UPI,Laptop & Accessory,11.2,3,0.465,1,0,0,0.1431,0.2979,0,,
CUST_000120,45,male,21.2,6.4,4,111.11,3,Debit Card,Grocery,14.4,3,0.422,0,1,1,0.4242,0.2285,0,,
CUST_000121,26,male,30.4,5.7,3,66.28,3,Debit Card,Mobile,5.3,3,0.61,1,0,1,0.1211,0.2735,0,,
CUST_000122,51,male,26.6,8.1,1,80.89,2,Debit Card,Laptop & Accessory,6.7,4,0.444,1,0,0,0.0774,0.1742,0,,
CUST_000123,21,male,15.9,6.4,6,68.93,2,Debit Card,Laptop & Accessory,4.1,3,0.533,1,0,0,0.1115,0.2481,0,,
CUST_000124,42,female,14.1,5,4,54.07,2,Debit Card,Mobile,4.6,3,0.416,0,0,0,0.2778,0.1343,0,,
CUST_000125,60,female,17.7,7.3,4,46.98,2,UPI,Mobile,11.8,3,0.37,1,0,0,0.279,0.4839,0,,
CUST_000126,25,male,22.7,6.4,4,94.44,3,Credit Card,Laptop & Accessory,9.4,4,0.358,1,0,0,0.1799,0.3457,1,Average service.,3
CUST_000127,30,female,28.9,6.8,4,55.37,4,Credit Card,Home & Kitchen,2.1,3,0.409,0,1,0,0.3515,0.1799,1,Service okay—still leaving.,2
CUST_000128,37,female,13.3,3.6,3,87.62,2,Debit Card,Laptop & Accessory,10,4,0.299,0,0,0,0.3905,0.215,1,Experience was fine overall.,3
CUST_000129,30,female,5.5,5.2,8,134.91,1,UPI,Laptop & Accessory,11.6,4,0.609,1,1,0,0.1055,0.2435,1,Service okay—still leaving.,2
CUST_000130,19,female,18,6.6,7,90.97,3,E Wallet,Home & Kitchen,13.2,4,0.485,1,0,0,0.096,0.2141,1,Experience was fine overall.,3
CUST_000131,37,male,10.7,7.6,3,80.68,2,E Wallet,Fashion,16.7,4,0.498,1,1,0,0.174,0.3524,1,"App was fine, but moving on.",2
CUST_000132,24,female,3.8,4.1,0,42.75,2,E Wallet,Mobile,6.6,3,0.472,0,0,0,0.2823,0.1337,1,Nothing special but acceptable.,3
CUST_000133,41,male,24.8,9.9,9,70.93,2,UPI,Mobile,13.6,4,0.692,1,0,0,0.0711,0.1788,0,,
CUST_000134,26,female,11.5,6.5,3,59.61,2,UPI,Mobile,9.6,3,0.318,0,0,0,0.3166,0.164,1,Experience was fine overall.,3
CUST_000135,53,male,23.4,4.1,2,72.73,4,Credit Card,Fashion,11.7,3,0.329,1,0,1,0.1128,0.2318,1,Average service.,3
CUST_000136,27,female,29.1,5.5,3,101.28,6,Credit Card,Mobile,18,3,0.476,0,0,0,0.335,0.1647,0,,
CUST_000137,32,female,13.7,8,4,119.99,4,Debit Card,Grocery,4.7,4,0.662,1,0,1,0.093,0.2233,0,,
CUST_000138,45,male,16.6,7.9,1,31.64,2,E Wallet,Home & Kitchen,16.6,3,0.288,1,1,0,0.3494,0.5554,1,Terrible experience. No perks.,1
CUST_000139,22,male,6.6,5.4,2,150.66,1,Credit Card,Home & Kitchen,15.8,4,0.421,0,0,0,0.4605,0.2556,0,,
CUST_000140,39,female,11.5,5.9,7,51.97,2,E Wallet,Mobile,7.5,3,0.298,1,0,0,0.1098,0.2237,1,Experience was fine overall.,3
CUST_000141,50,female,26.9,4.9,4,230.17,4,Credit Card,Mobile,13.5,4,0.603,1,0,0,0.292,0.529,0,,
CUST_000142,18,male,8,7.5,3,68.84,1,Credit Card,Laptop & Accessory,9.3,3,0.363,0,0,0,0.4403,0.2457,0,,
CUST_000143,38,female,9.4,4.1,3,100.92,2,Debit Card,Laptop & Accessory,2.2,3,0.497,1,0,0,0.1307,0.2796,1,Experience was fine overall.,3
CUST_000144,39,male,8.9,6.8,7,91.91,1,Credit Card,Mobile,6.8,4,0.385,0,0,0,0.4328,0.2382,0,,
CUST_000145,45,male,16,8,2,75.81,3,Credit Card,Mobile,8.7,3,0.297,0,0,0,0.3636,0.1965,1,Average service.,3
CUST_000146,22,male,9.4,5.6,5,132.54,2,UPI,Mobile,13,4,0.374,0,1,0,0.4838,0.2786,0,,
CUST_000147,21,male,13.4,7.3,5,157.47,3,UPI,Home & Kitchen,3.6,3,0.628,0,0,0,0.1668,0.0677,0,,
CUST_000148,42,female,15.1,8.7,7,82.07,2,Credit Card,Laptop & Accessory,7.5,4,0.552,1,0,1,0.1994,0.398,1,Average service.,3
CUST_000149,39,non-binary,9.4,6,3,58.82,3,E Wallet,Mobile,6,3,0.517,0,0,1,0.208,0.0915,1,Average service.,3
CUST_000150,39,male,15,5.6,5,52.6,3,Credit Card,Grocery,9.4,2,0.336,1,1,1,0.5247,0.7245,1,Service okay—still leaving.,2
CUST_000151,40,female,31.9,6.8,2,165.39,3,Credit Card,Laptop & Accessory,19.2,4,0.45,1,1,1,0.2366,0.4387,0,,
CUST_000152,29,male,6.8,4.3,4,49.21,2,Credit Card,Grocery,1,3,0.265,1,0,0,0.279,0.4708,1,Average service.,3
CUST_000153,39,female,19.6,5,4,100.37,3,E Wallet,Mobile,9.8,3,0.355,0,0,0,0.2978,0.1499,0,,
CUST_000154,39,male,16.9,6.7,1,118.48,3,UPI,Fashion,12.6,4,0.539,0,0,0,0.3348,0.1603,1,Experience was fine overall.,3
CUST_000155,28,female,18.6,5.9,3,68.27,2,Credit Card,Laptop & Accessory,10.5,3,0.479,0,1,0,0.1807,0.0794,0,,
CUST_000156,57,female,14.6,6.4,2,122.05,2,UPI,Laptop & Accessory,18,4,0.459,0,1,1,0.2328,0.107,1,Switching for better prices.,2
CUST_000157,41,male,36.9,5,4,99.56,3,E Wallet,Home & Kitchen,12.4,5,0.472,0,0,0,0.3439,0.1705,0,,
CUST_000158,23,female,13.1,5.6,3,81.44,1,E Wallet,Home & Kitchen,11.2,3,0.422,1,0,1,0.2004,0.3839,1,Average service.,3
CUST_000159,43,male,27.8,8.2,3,51.8,3,Debit Card,Fashion,4.4,3,0.467,1,1,1,0.2728,0.4882,0,,
CUST_000160,25,male,6.8,3.7,3,67.61,2,Debit Card,Mobile,15.7,2,0.33,0,0,0,0.1371,0.0627,0,,
CUST_000161,45,male,23,6.4,3,68.52,2,UPI,Mobile,4.9,4,0.429,0,0,1,0.4105,0.2182,0,,
CUST_000162,49,male,25.9,3.8,4,135.33,4,Cash on Delivery,Laptop & Accessory,11.5,4,0.419,1,0,0,0.2078,0.3944,0,,
CUST_000163,27,male,9.6,3.6,3,100.29,2,Credit Card,Grocery,3.7,4,0.398,0,0,1,0.2811,0.1373,0,,
CUST_000164,47,male,15,7.1,4,63.63,1,Credit Card,Mobile,18.8,3,0.547,0,0,0,0.4803,0.2588,0,,
CUST_000165,41,male,19.2,5.7,5,44.57,2,Credit Card,Laptop & Accessory,10.5,3,0.566,0,1,0,0.2243,0.0977,1,"App was fine, but moving on.",2
CUST_000166,45,male,10.6,8.4,5,122.36,3,Credit Card,Fashion,16,4,0.457,0,0,0,0.4335,0.2322,0,,
CUST_000167,57,female,26.3,7.2,9,152.63,4,Debit Card,Grocery,14.2,5,0.584,0,0,0,0.3118,0.1438,1,Nothing special but acceptable.,3
CUST_000168,33,female,6.6,6.2,5,138.46,1,Debit Card,Fashion,10.7,4,0.498,0,0,0,0.3078,0.1469,1,Average service.,3
CUST_000169,28,male,6.9,3.8,6,101.24,3,Credit Card,Grocery,13.8,2,0.572,1,0,1,0.1547,0.3292,1,Nothing special but acceptable.,3
CUST_000170,26,male,15.2,5.3,2,58.4,1,Credit Card,Laptop & Accessory,9.9,2,0.366,1,0,1,0.1809,0.3481,1,Nothing special but acceptable.,3
CUST_000171,27,male,5.6,4.2,6,65.08,1,E Wallet,Fashion,1,3,0.661,1,1,0,0.0958,0.229,1,Service okay—still leaving.,2
CUST_000172,35,female,42.5,6,3,37.99,5,Debit Card,Fashion,4.7,2,0.571,0,1,0,0.3043,0.1404,1,"App was fine, but moving on.",2
CUST_000173,40,female,28.5,7.7,5,104.92,4,Credit Card,Laptop & Accessory,13.9,3,0.561,1,1,1,0.1834,0.3745,1,Service okay—still leaving.,2
CUST_000174,39,male,17.7,7.4,4,123.91,2,Credit Card,Mobile,6.3,3,0.611,0,1,0,0.3373,0.157,0,,
CUST_000175,45,male,26.7,7.2,3,65.12,5,Cash on Delivery,Mobile,9.1,3,0.409,0,0,0,0.249,0.1183,0,,
CUST_000176,36,male,28.9,5.5,4,67.79,3,UPI,Grocery,12.7,3,0.567,1,0,0,0.0944,0.2181,1,Nothing special but acceptable.,3
CUST_000177,52,male,14.5,6.4,6,28.52,1,Credit Card,Mobile,10.6,2,0.452,0,0,0,0.5146,0.2957,1,Experience was fine overall.,3
CUST_000178,33,female,25.1,3.6,6,119.52,2,UPI,Mobile,2.9,3,0.395,1,0,0,0.248,0.4472,1,Nothing special but acceptable.,3
CUST_000179,66,female,17.6,8,1,157.51,4,UPI,Fashion,3.2,5,0.283,0,0,0,0.4345,0.2488,1,Nothing special but acceptable.,3
CUST_000180,43,male,14.4,3.9,1,88.8,1,UPI,Laptop & Accessory,11.2,2,0.32,0,0,0,0.3416,0.18,0,,
CUST_000181,27,female,12.7,4.1,7,66.3,3,E Wallet,Mobile,15.5,2,0.407,1,0,1,0.1443,0.294,1,Experience was fine overall.,3
CUST_000182,24,male,16.2,6.1,3,62.76,2,Credit Card,Mobile,18.8,2,0.288,1,0,0,0.3144,0.5161,0,,
CUST_000183,41,male,8.8,5.8,6,70.42,4,Debit Card,Mobile,19.8,3,0.416,0,0,1,0.3493,0.178,0,,
CUST_000184,34,female,9.9,5.5,0,126.42,3,UPI,Home & Kitchen,12.8,4,0.415,1,1,0,0.1256,0.2626,0,,
CUST_000185,44,female,18.7,4.5,4,75.41,3,Debit Card,Laptop & Accessory,15.1,3,0.35,0,1,1,0.5262,0.3165,1,"App was fine, but moving on.",2
