age,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,delivery_distance_km,satisfaction_score,loyalty_score,gender,preferred_payment,preferred_category,discount_offer,review_text
18,49.0,5.2,6,81.31,6,9.3,3,0.786,male,Credit Card,Laptop & Accessory,0,Switching for better prices.
42,12.7,3.6,2,90.76,1,6.6,3,0.32,female,UPI,Mobile,0,
40,10.0,8.1,6,128.3,2,1.0,5,0.526,male,Debit Card,Mobile,1,
40,22.4,5.4,3,58.38,3,11.0,2,0.325,non-binary,Credit Card,Laptop & Accessory,0,"App was fine, but moving on."
21,10.1,6.4,7,67.85,2,15.4,3,0.479,female,Credit Card,Fashion,0,Experience was fine overall.
28,27.0,4.9,3,98.93,4,9.5,4,0.527,male,UPI,Mobile,0,Switching for better prices.
49,11.6,4.8,3,125.17,1,4.2,3,0.429,male,Debit Card,Mobile,0,
42,12.4,5.3,8,58.52,2,8.5,2,0.413,male,Credit Card,Fashion,0,Nothing special but acceptable.
35,17.2,6.6,1,150.78,2,14.6,4,0.377,male,Credit Card,Home & Kitchen,1,Nothing special but acceptable.
27,32.4,6.2,5,98.68,3,11.9,3,0.595,female,E Wallet,Mobile,0,"App was fine, but moving on."
32,16.8,5.2,3,94.56,3,13.0,3,0.416,female,Credit Card,Grocery,1,Switching for better prices.
41,12.7,7.9,5,194.35,4,10.7,5,0.464,female,Debit Card,Laptop & Accessory,1,"App was fine, but moving on."
42,15.1,5.7,5,33.74,3,15.3,3,0.54,female,Credit Card,Fashion,0,Nothing special but acceptable.
56,15.2,5.6,2,126.66,1,3.2,3,0.423,female,Credit Card,Laptop & Accessory,1,
18,4.6,7.2,2,82.49,2,9.9,3,0.494,female,E Wallet,Laptop & Accessory,1,"App was fine, but moving on."
42,9.4,5.4,2,35.29,1,13.2,2,0.279,female,Credit Card,Mobile,0,"Late deliveries, no offers."
31,7.9,8.1,0,110.59,2,15.0,4,0.511,female,Credit Card,Mobile,1,
42,12.9,3.7,1,92.75,1,4.1,3,0.557,male,Credit Card,Laptop & Accessory,1,
28,9.6,7.5,7,125.71,3,4.7,4,0.545,female,E Wallet,Grocery,0,
27,15.2,7.0,3,85.89,4,16.1,3,0.465,male,Cash on Delivery,Mobile,1,
36,22.5,3.4,5,69.21,3,6.6,3,0.481,female,Debit Card,Laptop & Accessory,0,
41,29.6,5.0,4,151.59,3,13.8,5,0.61,male,UPI,Home & Kitchen,1,Very satisfied with value.
22,6.4,4.1,3,164.9,2,9.1,3,0.453,male,Debit Card,Fashion,0,Average service.
41,25.6,6.4,3,85.71,4,8.9,4,0.723,male,E Wallet,Mobile,1,Great perks—staying!
49,27.8,2.7,5,36.04,4,9.6,2,0.49,female,Cash on Delivery,Mobile,0,Average service.
37,8.1,5.1,2,160.55,1,15.3,4,0.447,female,Debit Card,Mobile,1,
36,8.6,5.9,4,38.65,2,8.4,3,0.433,male,Debit Card,Laptop & Accessory,1,
47,10.4,5.0,1,110.05,3,16.9,3,0.266,female,UPI,Grocery,1,Experience was fine overall.
29,23.1,8.7,4,177.46,2,16.6,4,0.588,female,UPI,Fashion,1,
18,19.0,5.2,4,129.32,3,2.7,4,0.324,male,Debit Card,Laptop & Accessory,0,
41,10.1,7.8,2,163.61,3,11.1,3,0.29,male,Credit Card,Fashion,0,Average service.
28,14.5,7.6,3,40.03,3,7.8,3,0.489,female,Debit Card,Laptop & Accessory,0,Nothing special but acceptable.
18,7.7,5.1,2,24.65,3,8.3,2,0.406,male,Credit Card,Mobile,1,Experience was fine overall.
30,16.6,6.3,2,104.77,3,2.8,4,0.365,male,UPI,Laptop & Accessory,0,
36,7.5,5.4,3,103.09,2,13.8,3,0.514,male,Credit Card,Mobile,0,Switching for better prices.
61,14.5,4.6,2,56.04,2,9.6,2,0.299,male,E Wallet,Fashion,1,"Late deliveries, no offers."
32,11.2,9.6,2,98.6,2,8.5,4,0.567,male,Credit Card,Mobile,0,Service okay—still leaving.
34,17.5,6.7,4,87.99,3,12.1,3,0.479,female,Credit Card,Mobile,0,Experience was fine overall.
54,33.6,6.4,4,105.8,4,12.6,4,0.54,non-binary,Debit Card,Fashion,0,"App was fine, but moving on."
35,27.0,7.5,3,58.8,3,11.4,4,0.424,female,Debit Card,Home & Kitchen,0,
36,34.6,6.7,5,151.9,5,14.6,5,0.723,female,Credit Card,Laptop & Accessory,1,
19,40.9,8.2,3,60.11,4,8.6,3,0.556,male,E Wallet,Mobile,1,
21,8.1,5.6,2,67.02,3,12.5,3,0.186,non-binary,E Wallet,Fashion,0,Nothing special but acceptable.
25,8.9,4.8,7,65.75,2,17.6,2,0.643,male,Credit Card,Laptop & Accessory,0,
22,3.7,7.3,3,51.86,1,6.1,3,0.464,female,Credit Card,Home & Kitchen,1,Average service.
28,7.9,5.3,3,67.02,3,11.2,4,0.442,female,Debit Card,Laptop & Accessory,0,
34,49.1,7.8,4,115.7,5,6.2,5,0.603,male,UPI,Laptop & Accessory,0,"Loyal customer, happy so far."
18,12.3,5.9,0,104.52,3,8.6,3,0.337,male,E Wallet,Fashion,0,
43,13.8,6.6,3,59.25,3,10.0,4,0.427,female,E Wallet,Home & Kitchen,0,Average service.
18,6.9,5.1,7,107.66,2,8.2,4,0.599,male,Credit Card,Mobile,1,
51,12.3,5.7,7,66.16,2,11.6,2,0.524,male,E Wallet,Mobile,0,Experience was fine overall.
28,15.2,4.9,3,119.54,3,7.3,3,0.514,male,Debit Card,Home & Kitchen,1,
38,18.4,5.1,2,60.8,3,10.0,2,0.198,male,Credit Card,Grocery,0,
39,30.4,5.2,3,41.55,2,10.0,3,0.269,female,UPI,Fashion,1,Experience was fine overall.
32,6.0,4.6,3,86.26,2,1.0,4,0.466,male,Debit Card,Home & Kitchen,0,Average service.
18,14.0,7.4,5,91.19,1,14.1,4,0.55,female,Debit Card,Mobile,1,Nothing special but acceptable.
21,26.2,5.9,4,141.19,3,7.2,3,0.597,female,Debit Card,Mobile,0,Experience was fine overall.
41,12.7,6.2,3,77.69,3,15.6,3,0.315,male,Credit Card,Fashion,0,Nothing special but acceptable.
32,61.6,8.0,2,82.72,6,6.7,4,0.63,male,E Wallet,Laptop & Accessory,1,
52,12.1,4.0,2,155.88,2,5.2,5,0.489,female,UPI,Fashion,0,
58,13.7,6.7,5,95.38,1,12.3,3,0.449,non-binary,Credit Card,Mobile,1,Average service.
35,13.8,6.5,3,127.17,2,13.2,3,0.378,male,E Wallet,Grocery,0,
24,18.0,6.4,3,57.38,3,11.7,3,0.346,female,Debit Card,Home & Kitchen,1,
31,15.8,7.9,3,127.04,2,4.9,5,0.378,male,Credit Card,Mobile,1,Nothing special but acceptable.
60,31.5,7.0,2,87.89,3,16.3,4,0.651,male,Credit Card,Mobile,0,
60,34.7,6.3,1,88.69,4,1.0,3,0.453,male,Credit Card,Mobile,1,Average service.
44,13.7,7.7,6,174.47,2,3.9,5,0.625,male,Credit Card,Laptop & Accessory,1,Service okay—still leaving.
53,12.4,5.9,4,143.49,2,8.0,5,0.392,male,Cash on Delivery,Grocery,0,Service okay—still leaving.
49,17.7,8.4,4,77.65,2,5.7,3,0.447,male,Credit Card,Mobile,0,Nothing special but acceptable.
41,49.3,7.0,5,201.65,5,9.5,5,0.664,male,Debit Card,Mobile,1,
29,27.8,5.9,2,70.8,4,8.0,4,0.34,non-binary,Credit Card,Home & Kitchen,0,Nothing special but acceptable.
18,2.5,7.7,7,224.94,1,13.0,4,0.477,female,E Wallet,Grocery,0,Experience was fine overall.
22,15.8,3.3,6,59.49,3,24.4,2,0.52,female,E Wallet,Fashion,1,Average service.
53,17.5,3.9,3,84.78,2,13.7,3,0.439,male,Credit Card,Fashion,0,
50,12.4,5.4,2,84.97,3,6.8,5,0.297,female,Debit Card,Laptop & Accessory,1,Experience was fine overall.
24,33.8,9.2,3,237.69,4,10.5,5,0.642,female,Credit Card,Fashion,0,Very satisfied with value.
30,12.7,3.9,5,72.18,2,10.2,2,0.405,female,E Wallet,Home & Kitchen,0,
50,43.7,5.8,6,69.37,3,15.2,2,0.646,male,E Wallet,Fashion,0,Service okay—still leaving.
30,15.9,6.7,5,87.93,3,7.4,4,0.395,male,Credit Card,Home & Kitchen,0,
39,20.0,6.4,0,80.64,3,15.3,4,0.449,male,UPI,Grocery,0,
18,8.4,3.7,4,100.83,3,13.8,4,0.508,male,Cash on Delivery,Laptop & Accessory,1,Switching for better prices.
45,23.2,8.6,1,82.22,3,3.2,4,0.384,male,UPI,Home & Kitchen,0,Average service.
36,26.5,2.7,1,122.35,4,8.7,3,0.581,non-binary,Debit Card,Laptop & Accessory,1,Nothing special but acceptable.
25,8.0,6.4,6,143.03,3,12.2,5,0.562,non-binary,Debit Card,Grocery,1,Nothing special but acceptable.
24,13.1,3.5,10,119.01,2,15.5,3,0.532,male,E Wallet,Home & Kitchen,1,"App was fine, but moving on."
22,10.8,6.0,4,73.78,1,16.5,2,0.359,female,Debit Card,Home & Kitchen,0,Service okay—still leaving.
27,10.1,5.3,4,80.96,3,10.4,4,0.373,male,Credit Card,Laptop & Accessory,0,"App was fine, but moving on."
20,17.0,6.4,3,127.01,1,13.4,3,0.507,male,Credit Card,Mobile,0,Average service.
47,12.6,7.2,8,103.68,1,2.7,4,0.485,female,Debit Card,Grocery,1,
30,15.9,4.1,4,138.08,1,3.7,5,0.326,female,Debit Card,Mobile,1,
26,38.4,8.0,3,56.41,3,11.7,4,0.59,female,UPI,Fashion,1,
55,13.3,4.1,1,58.14,2,1.0,3,0.326,non-binary,UPI,Mobile,1,Average service.
39,15.2,3.9,5,63.98,1,5.9,4,0.498,male,UPI,Home & Kitchen,1,
31,8.4,5.1,0,200.89,1,18.3,4,0.356,male,Debit Card,Fashion,1,
34,7.5,6.1,4,74.59,2,8.6,3,0.312,female,Debit Card,Mobile,0,"App was fine, but moving on."
34,8.1,4.7,2,52.68,3,15.4,3,0.336,male,Credit Card,Laptop & Accessory,0,
23,8.6,7.1,6,118.67,4,7.5,4,0.485,male,Debit Card,Laptop & Accessory,1,
36,23.1,8.0,6,155.59,3,12.8,5,0.508,female,UPI,Fashion,1,Experience was fine overall.
38,24.7,6.8,2,89.48,3,3.5,4,0.481,male,Debit Card,Fashion,0,Service okay—still leaving.
35,22.5,6.6,4,80.25,3,14.8,3,0.541,female,Credit Card,Mobile,0,
36,8.4,8.0,4,60.25,3,12.2,4,0.442,male,Debit Card,Mobile,0,
30,22.5,5.6,1,87.48,4,6.3,3,0.483,female,Cash on Delivery,Home & Kitchen,0,Average service.
28,21.5,6.5,3,94.91,2,4.7,5,0.418,male,UPI,Home & Kitchen,0,Experience was fine overall.
58,17.2,5.9,7,78.78,1,8.7,3,0.435,female,E Wallet,Mobile,1,"App was fine, but moving on."
49,28.9,3.6,0,65.85,4,8.8,2,0.369,female,Credit Card,Mobile,1,
46,14.2,4.8,4,62.16,3,20.6,3,0.376,female,Credit Card,Mobile,0,Nothing special but acceptable.
48,23.7,5.1,2,144.87,4,24.8,4,0.458,male,Debit Card,Mobile,0,
50,16.6,6.3,3,72.67,2,6.2,3,0.375,female,Cash on Delivery,Mobile,0,Switching for better prices.
18,36.2,6.4,4,203.76,4,16.9,4,0.554,female,Credit Card,Fashion,0,
36,8.6,6.5,4,28.61,2,10.6,3,0.504,non-binary,Debit Card,Grocery,0,
31,5.8,6.1,3,75.87,3,5.5,3,0.605,female,Debit Card,Laptop & Accessory,0,Switching for better prices.
32,31.7,9.2,3,68.76,3,10.3,4,0.568,female,Debit Card,Home & Kitchen,0,Nothing special but acceptable.
47,13.2,6.8,7,66.7,4,8.2,4,0.575,female,E Wallet,Laptop & Accessory,0,
31,8.9,3.2,1,197.31,2,14.7,3,0.411,male,UPI,Home & Kitchen,0,
38,67.8,10.6,5,64.99,6,10.6,4,0.753,female,Debit Card,Mobile,1,Great perks—staying!
40,13.9,5.2,3,83.79,3,3.2,3,0.229,male,UPI,Laptop & Accessory,1,
36,27.4,4.7,11,67.39,2,13.7,2,0.605,female,Debit Card,Fashion,0,Great perks—staying!
46,14.0,5.8,5,109.23,1,16.5,3,0.46,male,Debit Card,Laptop & Accessory,1,Experience was fine overall.
42,9.3,8.8,3,138.79,2,3.4,5,0.514,female,UPI,Mobile,1,
44,20.2,7.5,4,219.48,4,15.4,4,0.466,female,Debit Card,Mobile,0,Experience was fine overall.
27,15.2,9.0,4,83.54,3,8.7,4,0.276,female,E Wallet,Laptop & Accessory,0,Not satisfied—leaving.
29,8.0,4.9,2,78.62,2,16.4,3,0.392,female,Debit Card,Laptop & Accessory,1,Average service.
28,16.5,5.2,5,57.68,2,19.4,3,0.382,male,E Wallet,Fashion,1,Experience was fine overall.
53,21.0,8.2,3,145.23,3,2.2,5,0.507,male,Credit Card,Laptop & Accessory,0,Average service.
35,11.9,6.2,0,72.62,2,7.3,3,0.335,non-binary,UPI,Fashion,1,
35,14.8,8.6,4,94.39,3,2.4,4,0.49,female,Debit Card,Fashion,1,Experience was fine overall.
44,14.2,8.6,5,106.46,3,4.4,4,0.573,male,UPI,Fashion,0,
34,23.4,8.6,4,60.05,3,17.7,3,0.546,female,Credit Card,Home & Kitchen,0,
39,17.9,8.9,2,54.75,3,13.5,3,0.474,female,Debit Card,Mobile,1,Service okay—still leaving.
41,61.2,9.2,8,100.17,6,12.0,4,0.697,male,E Wallet,Mobile,1,Very satisfied with value.
21,15.9,4.3,4,125.1,2,2.5,3,0.474,non-binary,UPI,Mobile,1,Service okay—still leaving.
41,26.7,6.2,3,68.25,3,4.1,3,0.367,female,Debit Card,Mobile,0,
23,4.7,6.3,3,41.54,1,7.5,3,0.189,male,Debit Card,Home & Kitchen,0,
34,16.1,5.7,4,52.82,4,13.4,2,0.418,male,Credit Card,Mobile,0,"App was fine, but moving on."
54,13.7,7.2,6,42.91,2,15.3,2,0.326,female,Credit Card,Home & Kitchen,0,
18,2.7,6.4,4,369.25,2,15.8,4,0.613,male,Cash on Delivery,Mobile,0,"App was fine, but moving on."
34,16.7,8.1,2,22.79,3,5.5,3,0.158,female,Debit Card,Fashion,1,
28,8.7,4.3,9,75.09,3,15.1,2,0.377,male,Debit Card,Home & Kitchen,0,
31,12.8,3.1,1,101.54,2,1.0,4,0.397,female,UPI,Mobile,1,Experience was fine overall.
46,12.8,6.5,3,74.66,2,8.9,5,0.283,male,Credit Card,Laptop & Accessory,1,"Late deliveries, no offers."
50,17.5,4.3,4,167.74,3,14.6,4,0.447,male,E Wallet,Grocery,0,
22,5.1,5.0,2,96.96,1,5.9,3,0.466,male,UPI,Home & Kitchen,0,
25,8.0,3.3,3,41.65,2,13.8,2,0.276,male,Debit Card,Mobile,1,Not satisfied—leaving.
38,13.6,4.0,2,78.3,1,9.8,2,0.225,male,Debit Card,Mobile,1,Nothing special but acceptable.
42,17.7,2.5,1,66.16,2,12.2,2,0.38,female,UPI,Home & Kitchen,0,
25,14.8,4.9,3,73.33,4,18.6,3,0.354,female,Credit Card,Home & Kitchen,0,
45,11.0,4.8,0,92.29,4,16.8,3,0.156,female,Debit Card,Mobile,0,
51,13.3,6.9,3,105.49,2,13.4,5,0.37,female,Cash on Delivery,Mobile,1,
33,7.9,7.2,4,48.21,2,18.6,4,0.359,female,UPI,Laptop & Accessory,1,
41,25.1,6.5,5,55.84,4,12.4,3,0.392,female,Debit Card,Laptop & Accessory,0,Experience was fine overall.
30,20.8,3.7,3,129.03,2,13.0,3,0.596,female,E Wallet,Grocery,1,Experience was fine overall.
43,17.3,5.5,3,104.56,3,9.2,5,0.45,female,Credit Card,Home & Kitchen,1,
41,43.6,6.9,5,78.34,4,2.2,3,0.583,female,Credit Card,Mobile,1,Experience was fine overall.
40,8.9,5.9,10,81.0,2,8.8,4,0.453,non-binary,Credit Card,Home & Kitchen,0,
52,12.8,1.6,1,86.32,1,8.3,2,0.176,female,Credit Card,Mobile,0,
55,55.0,6.4,1,105.81,6,10.9,4,0.744,male,Credit Card,Fashion,1,Very satisfied with value.
34,9.9,3.6,2,70.46,3,1.0,3,0.328,male,Credit Card,Laptop & Accessory,0,"App was fine, but moving on."
32,15.4,4.5,0,68.79,2,18.1,3,0.173,female,Credit Card,Fashion,0,"Late deliveries, no offers."
31,7.7,5.6,4,138.76,2,14.6,4,0.568,male,UPI,Home & Kitchen,0,
18,5.8,6.9,4,56.96,2,4.6,4,0.522,male,UPI,Laptop & Accessory,0,
35,30.1,6.4,1,80.36,4,14.2,3,0.475,female,E Wallet,Home & Kitchen,1,Switching for better prices.
30,7.3,1.6,2,78.44,1,14.2,3,0.256,male,Credit Card,Fashion,1,
64,43.8,9.6,2,149.51,5,15.1,3,0.442,female,Credit Card,Fashion,0,Nothing special but acceptable.
41,12.6,8.1,8,92.82,1,3.5,4,0.645,male,Credit Card,Laptop & Accessory,0,
39,14.7,5.1,4,65.38,3,4.8,2,0.474,female,Credit Card,Grocery,0,
23,6.3,1.0,4,61.41,1,8.0,3,0.376,non-binary,Debit Card,Fashion,0,
41,11.7,7.4,0,121.58,4,12.4,4,0.256,female,UPI,Laptop & Accessory,1,
32,15.0,8.4,8,109.63,2,11.8,4,0.638,female,Credit Card,Mobile,1,"Loyal customer, happy so far."
42,14.1,6.7,5,111.39,3,6.4,4,0.335,female,Debit Card,Fashion,1,Nothing special but acceptable.
64,17.9,4.9,3,106.33,4,20.3,4,0.354,female,Credit Card,Home & Kitchen,0,Switching for better prices.
27,8.5,4.2,5,59.96,3,16.2,3,0.386,male,Credit Card,Mobile,1,
48,12.9,4.7,4,98.41,2,9.6,3,0.473,female,Debit Card,Home & Kitchen,0,
21,6.6,6.4,8,100.17,2,7.2,3,0.444,female,Cash on Delivery,Mobile,1,Experience was fine overall.
22,4.7,6.2,2,57.77,2,12.0,3,0.385,female,Debit Card,Laptop & Accessory,0,
47,27.9,4.6,5,131.59,3,7.6,3,0.406,female,Debit Card,Mobile,0,
45,26.2,4.6,3,172.96,3,16.5,3,0.416,male,Credit Card,Mobile,0,
39,10.2,4.5,6,77.45,2,14.2,2,0.408,male,Debit Card,Grocery,0,
36,29.5,6.2,3,134.16,3,12.0,5,0.444,male,Debit Card,Mobile,1,Nothing special but acceptable.
32,6.5,3.6,3,52.11,2,5.5,3,0.448,female,Credit Card,Home & Kitchen,0,
42,19.3,7.6,2,75.13,3,13.8,3,0.489,male,Debit Card,Fashion,0,Average service.
55,20.2,3.3,8,192.78,3,8.4,4,0.523,male,UPI,Mobile,0,
45,16.3,3.4,3,41.91,3,15.8,2,0.486,female,Credit Card,Grocery,1,Experience was fine overall.
39,8.7,6.8,7,90.14,2,7.3,4,0.735,male,Credit Card,Fashion,1,
18,3.5,5.9,3,52.18,1,12.6,2,0.256,female,UPI,Grocery,1,
40,8.9,4.2,6,67.51,3,17.4,2,0.484,male,E Wallet,Laptop & Accessory,0,
34,18.4,5.3,3,97.84,3,14.3,3,0.436,female,Debit Card,Grocery,1,
23,7.4,5.7,4,63.24,3,19.2,3,0.282,male,Credit Card,Fashion,0,Experience was fine overall.
35,50.8,12.3,8,88.08,6,10.0,4,0.805,male,E Wallet,Fashion,0,
50,28.3,7.8,4,32.26,4,5.3,4,0.442,male,Credit Card,Laptop & Accessory,0,
30,7.4,4.5,4,94.66,1,10.6,2,0.439,female,UPI,Laptop & Accessory,0,Experience was fine overall.
28,8.5,7.1,5,142.16,3,22.0,3,0.375,female,UPI,Mobile,0,Switching for better prices.
66,30.9,6.3,2,188.25,4,9.7,5,0.653,female,Debit Card,Mobile,0,Very satisfied with value.
34,6.8,7.1,1,95.07,3,17.1,5,0.257,female,Credit Card,Laptop & Accessory,0,Terrible experience. No perks.
41,17.1,3.4,4,140.33,3,14.2,4,0.476,female,UPI,Fashion,0,
21,35.9,8.7,5,76.49,3,15.4,3,0.596,male,UPI,Laptop & Accessory,0,
32,12.2,5.0,3,72.74,1,7.4,3,0.452,male,Cash on Delivery,Fashion,0,
34,9.9,5.5,0,126.42,3,12.8,4,0.415,female,UPI,Home & Kitchen,1,
48,11.7,9.1,3,105.41,2,4.8,4,0.482,male,E Wallet,Home & Kitchen,1,Experience was fine overall.
20,23.8,5.3,6,127.14,2,15.8,3,0.58,female,UPI,Home & Kitchen,0,Switching for better prices.
19,22.6,6.2,4,127.91,3,9.7,4,0.629,female,E Wallet,Home & Kitchen,1,"Loyal customer, happy so far."
25,4.0,6.5,4,124.57,1,7.2,5,0.418,female,Debit Card,Home & Kitchen,0,Average service.
58,13.4,4.6,1,196.5,4,9.0,3,0.373,male,UPI,Mobile,0,
25,10.0,5.1,3,144.81,3,15.4,4,0.439,female,Credit Card,Fashion,0,
43,12.1,10.2,4,82.86,3,17.6,4,0.44,male,E Wallet,Mobile,1,Average service.
33,16.4,8.1,7,102.01,3,7.1,5,0.534,female,UPI,Mobile,0,
48,18.6,6.6,1,46.22,3,9.1,4,0.504,male,E Wallet,Home & Kitchen,0,Nothing special but acceptable.
48,15.8,5.7,2,87.78,3,8.2,3,0.456,female,E Wallet,Home & Kitchen,1,Average service.
26,12.6,8.5,5,180.57,1,14.2,5,0.471,male,Credit Card,Mobile,1,Experience was fine overall.
29,8.5,5.5,3,62.2,3,23.1,3,0.411,male,Debit Card,Laptop & Accessory,0,
38,24.2,8.4,5,158.92,4,14.2,3,0.614,female,E Wallet,Home & Kitchen,0,Switching for better prices.
18,29.3,6.6,3,92.78,3,15.0,4,0.516,male,UPI,Laptop & Accessory,1,
44,13.9,6.0,4,178.79,2,14.8,4,0.404,female,Credit Card,Home & Kitchen,1,Experience was fine overall.
34,8.8,5.5,1,108.36,1,8.1,3,0.215,female,Debit Card,Mobile,0,Nothing special but acceptable.
26,5.2,6.0,7,111.24,2,11.3,3,0.522,non-binary,UPI,Home & Kitchen,0,
21,4.0,5.5,4,95.46,1,1.0,4,0.55,female,Credit Card,Home & Kitchen,0,Experience was fine overall.
39,11.5,7.5,6,80.65,3,15.1,4,0.571,female,UPI,Home & Kitchen,1,Average service.
37,14.7,6.1,7,91.77,2,11.0,4,0.418,male,Credit Card,Mobile,1,
47,24.9,5.3,6,84.42,4,9.5,4,0.442,female,Debit Card,Laptop & Accessory,0,Switching for better prices.
45,19.1,6.7,3,112.49,3,6.6,4,0.47,female,UPI,Fashion,0,"App was fine, but moving on."
25,7.6,6.1,4,201.4,3,17.2,5,0.477,female,Debit Card,Mobile,0,Average service.
24,9.4,8.5,10,44.94,2,13.6,4,0.45,female,Debit Card,Grocery,1,Nothing special but acceptable.
43,16.4,2.1,4,148.94,3,11.8,3,0.388,non-binary,Credit Card,Fashion,1,Experience was fine overall.
34,11.2,4.5,5,78.35,2,16.6,2,0.287,female,Credit Card,Fashion,0,Terrible experience. No perks.
18,9.2,4.2,6,43.5,2,11.4,2,0.453,male,Credit Card,Mobile,1,Experience was fine overall.
33,11.5,8.3,7,142.09,2,14.3,5,0.589,female,UPI,Home & Kitchen,0,
36,19.8,7.9,8,40.72,3,3.8,3,0.465,female,Credit Card,Home & Kitchen,0,Experience was fine overall.
42,19.6,5.4,5,38.1,3,3.3,3,0.319,male,Credit Card,Home & Kitchen,0,Experience was fine overall.
24,8.0,3.4,6,90.49,3,14.5,3,0.51,male,Debit Card,Mobile,0,
53,35.0,4.9,6,62.16,5,10.8,4,0.46,male,Debit Card,Laptop & Accessory,0,
44,19.6,3.4,1,93.69,4,5.2,4,0.207,female,UPI,Home & Kitchen,1,Not satisfied—leaving.
29,6.5,6.6,1,80.65,3,5.0,4,0.462,male,Credit Card,Laptop & Accessory,1,Service okay—still leaving.
36,12.9,6.9,4,66.67,3,21.7,2,0.429,female,Credit Card,Mobile,0,
18,4.7,5.7,2,135.65,2,18.2,3,0.449,male,Credit Card,Fashion,0,
34,8.1,5.8,3,112.5,1,14.2,3,0.28,non-binary,UPI,Fashion,0,
42,25.2,5.0,2,97.17,3,5.3,4,0.449,male,Credit Card,Home & Kitchen,0,Nothing special but acceptable.
18,18.1,4.6,4,127.7,4,9.4,5,0.501,male,Debit Card,Grocery,1,
38,24.6,7.3,6,128.6,2,6.9,4,0.564,female,UPI,Mobile,0,
31,10.0,5.7,4,100.9,2,20.3,3,0.336,female,Credit Card,Grocery,0,Average service.
42,10.3,7.1,2,76.59,2,6.7,5,0.417,female,Credit Card,Laptop & Accessory,1,Average service.
