customer_id,preferred_category,discount_suggestion,is_feasible,is_best_feasible,age,gender,tenure_months,hour_spend_on_app,visits_last_month,avg_purchase_value,number_devices,preferred_payment,delivery_distance_km,satisfaction_score,loyalty_score,discount_offer,churned,predicted_churn
114,Fashion,Offer discount on Fashion,1,1,34,male,9.6,4.2,0,143.18,1,UPI,3.0,3,0.925,0,0,0
114,Fashion,Offer discount on Fashion,1,0,34,male,9.6,4.2,0,143.18,1,UPI,3.0,3,0.867,0,0,0
114,Fashion,Offer discount on Fashion,1,0,34,male,9.6,4.2,0,143.18,1,UPI,3.0,4.0,0.94,0,0,0
120,Grocery,Offer discount on Grocery,1,1,45,male,21.2,6.4,4,111.11,3,Debit Card,14.4,4.0,0.994,0,0,0
120,Grocery,Offer discount on Grocery,1,0,45,male,21.2,6.4,4,111.11,3,Debit Card,14.4,3,0.219,1.0,0,0
120,Grocery,Offer discount on Grocery,1,0,45,male,21.2,6.4,4,111.11,3,Debit Card,14.4,1.0,0.878,0,0,0
127,Home & Kitchen,Offer discount on Home & Kitchen,1,1,30,female,28.9,6.8,4,55.37,4,Credit Card,2.1,3,0.89,0,0,0
127,Home & Kitchen,Offer discount on Home & Kitchen,1,0,30,female,28.9,6.8,4,55.37,4,Credit Card,2.1,3,0.972,1.0,0,0
127,Home & Kitchen,Offer discount on Home & Kitchen,1,0,30,female,28.9,6.8,4,55.37,4,Credit Card,2.1,3,0.986,0,0,0
129,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,30,female,5.5,5.2,8,134.91,1,UPI,11.6,4,0.351,0.0,1,1
129,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,30,female,5.5,5.2,8,134.91,1,UPI,11.6,4,0.11,0.0,1,1
129,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,30,female,5.5,5.2,8,134.91,1,UPI,11.6,4,0.247,0.0,1,1
131,Fashion,Offer discount on Fashion,0,0,37,male,10.7,7.6,3,80.68,2,E Wallet,16.7,3.0,0.498,0.0,1,1
131,Fashion,Offer discount on Fashion,0,0,37,male,10.7,7.6,3,80.68,2,E Wallet,16.7,4,0.704,0.0,1,1
131,Fashion,Offer discount on Fashion,0,0,37,male,10.7,7.6,3,80.68,2,E Wallet,16.7,4,0.379,0.0,1,1
138,Home & Kitchen,Offer discount on Home & Kitchen,0,0,45,male,16.6,7.9,1,31.64,2,E Wallet,16.6,3,0.054,0.0,1,1
138,Home & Kitchen,Offer discount on Home & Kitchen,0,0,45,male,16.6,7.9,1,31.64,2,E Wallet,16.6,3,0.832,0.0,1,1
138,Home & Kitchen,Offer discount on Home & Kitchen,0,0,45,male,16.6,7.9,1,31.64,2,E Wallet,16.6,3,0.364,0.0,1,1
146,Mobile,Offer discount on Mobile,1,1,22,male,9.4,5.6,5,132.54,2,UPI,13.0,3.0,0.99,0,0,0
146,Mobile,Offer discount on Mobile,1,0,22,male,9.4,5.6,5,132.54,2,UPI,13.0,4,0.998,0,0,0
146,Mobile,Offer discount on Mobile,1,0,22,male,9.4,5.6,5,132.54,2,UPI,13.0,4,0.613,1.0,0,0
150,Grocery,Offer discount on Grocery,0,0,39,male,15.0,5.6,5,52.6,3,Credit Card,9.4,2,0.753,0.0,1,1
150,Grocery,Offer discount on Grocery,0,0,39,male,15.0,5.6,5,52.6,3,Credit Card,9.4,2,0.336,0.0,1,1
150,Grocery,Offer discount on Grocery,0,0,39,male,15.0,5.6,5,52.6,3,Credit Card,9.4,2,0.005,0.0,1,1
151,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,31.9,6.8,2,165.39,3,Credit Card,19.2,4,0.822,0.0,1,1
151,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,31.9,6.8,2,165.39,3,Credit Card,19.2,4,0.078,0.0,1,1
151,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,31.9,6.8,2,165.39,3,Credit Card,19.2,4,0.287,0.0,1,1
155,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,28,female,18.6,5.9,3,68.27,2,Credit Card,10.5,3,0.912,0,0,0
155,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,28,female,18.6,5.9,3,68.27,2,Credit Card,10.5,3,0.342,1.0,0,0
155,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,28,female,18.6,5.9,3,68.27,2,Credit Card,10.5,3,0.638,1.0,0,0
156,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,57,female,14.6,6.4,2,122.05,2,UPI,18.0,4,0.893,0,0,0
156,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,57,female,14.6,6.4,2,122.05,2,UPI,18.0,4,0.937,1.0,0,0
156,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,57,female,14.6,6.4,2,122.05,2,UPI,18.0,5.0,0.932,0,0,0
159,Fashion,Offer discount on Fashion,0,0,43,male,27.8,8.2,3,51.8,3,Debit Card,4.4,3,0.556,0.0,1,1
159,Fashion,Offer discount on Fashion,0,0,43,male,27.8,8.2,3,51.8,3,Debit Card,4.4,3,0.233,0.0,1,1
159,Fashion,Offer discount on Fashion,0,0,43,male,27.8,8.2,3,51.8,3,Debit Card,4.4,3,0.002,0.0,1,1
165,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,41,male,19.2,5.7,5,44.57,2,Credit Card,10.5,2.0,0.932,0,0,0
165,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,41,male,19.2,5.7,5,44.57,2,Credit Card,10.5,3,0.873,0,0,0
165,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,41,male,19.2,5.7,5,44.57,2,Credit Card,10.5,3,0.985,0.0,0,0
171,Fashion,Offer discount on Fashion,0,0,27,male,5.6,4.2,6,65.08,1,E Wallet,1.0,3,0.42,0.0,1,1
171,Fashion,Offer discount on Fashion,0,0,27,male,5.6,4.2,6,65.08,1,E Wallet,1.0,3,0.188,0.0,1,1
171,Fashion,Offer discount on Fashion,0,0,27,male,5.6,4.2,6,65.08,1,E Wallet,1.0,3,0.819,0.0,1,1
172,Fashion,Offer discount on Fashion,1,1,35,female,42.5,6.0,3,37.99,5,Debit Card,4.7,2,0.891,0,0,0
172,Fashion,Offer discount on Fashion,1,0,35,female,42.5,6.0,3,37.99,5,Debit Card,4.7,2,0.907,0,0,0
172,Fashion,Offer discount on Fashion,1,0,35,female,42.5,6.0,3,37.99,5,Debit Card,4.7,1.0,0.571,1.0,0,0
173,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,28.5,7.7,5,104.92,4,Credit Card,13.9,3,0.683,0.0,1,1
173,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,28.5,7.7,5,104.92,4,Credit Card,13.9,3,0.407,0.0,1,1
173,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,40,female,28.5,7.7,5,104.92,4,Credit Card,13.9,3,0.727,0.0,1,1
174,Mobile,Offer discount on Mobile,1,1,39,male,17.7,7.4,4,123.91,2,Credit Card,6.3,3,0.847,1.0,0,0
174,Mobile,Offer discount on Mobile,1,0,39,male,17.7,7.4,4,123.91,2,Credit Card,6.3,3,0.945,0,0,0
174,Mobile,Offer discount on Mobile,1,0,39,male,17.7,7.4,4,123.91,2,Credit Card,6.3,3,0.678,1.0,0,0
184,Home & Kitchen,Offer discount on Home & Kitchen,0,0,34,female,9.9,5.5,0,126.42,3,UPI,12.8,4,0.393,0.0,1,1
184,Home & Kitchen,Offer discount on Home & Kitchen,0,0,34,female,9.9,5.5,0,126.42,3,UPI,12.8,4,0.803,0.0,1,1
184,Home & Kitchen,Offer discount on Home & Kitchen,0,0,34,female,9.9,5.5,0,126.42,3,UPI,12.8,4,0.365,0.0,1,1
185,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,44,female,18.7,4.5,4,75.41,3,Debit Card,15.1,3,0.491,1.0,0,0
185,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,44,female,18.7,4.5,4,75.41,3,Debit Card,15.1,3,0.905,0,0,0
185,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,44,female,18.7,4.5,4,75.41,3,Debit Card,15.1,3,0.883,0,0,0
194,Home & Kitchen,Offer discount on Home & Kitchen,0,0,38,female,11.6,7.2,6,87.89,3,Cash on Delivery,9.6,3,0.438,0.0,1,1
194,Home & Kitchen,Offer discount on Home & Kitchen,0,0,38,female,11.6,7.2,6,87.89,3,Cash on Delivery,9.6,3,0.038,0.0,1,1
194,Home & Kitchen,Offer discount on Home & Kitchen,0,0,38,female,11.6,7.2,6,87.89,3,Cash on Delivery,9.6,3,0.678,0.0,1,1
201,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,42,female,10.1,4.5,4,112.62,3,Debit Card,10.5,4,0.818,1.0,0,0
201,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,42,female,10.1,4.5,4,112.62,3,Debit Card,10.5,4,0.317,1.0,0,0
201,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,42,female,10.1,4.5,4,112.62,3,Debit Card,10.5,2.0,0.946,0,0,0
202,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,48,female,16.1,6.2,2,88.71,3,Credit Card,6.2,2.0,0.935,0,0,0
202,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,48,female,16.1,6.2,2,88.71,3,Credit Card,6.2,5,0.288,1.0,0,0
202,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,48,female,16.1,6.2,2,88.71,3,Credit Card,6.2,5,0.901,0,0,0
209,Laptop & Accessory,Offer discount on Laptop & Accessory,1,1,75,female,29.9,6.3,1,106.46,4,Debit Card,12.3,4,0.295,1.0,0,0
209,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,75,female,29.9,6.3,1,106.46,4,Debit Card,12.3,1.0,0.88,0,0,0
209,Laptop & Accessory,Offer discount on Laptop & Accessory,1,0,75,female,29.9,6.3,1,106.46,4,Debit Card,12.3,3.0,0.896,0,0,0
214,Grocery,Offer discount on Grocery,1,1,33,female,13.4,6.6,7,117.04,2,E Wallet,11.7,2.0,0.978,0,0,0
214,Grocery,Offer discount on Grocery,1,0,33,female,13.4,6.6,7,117.04,2,E Wallet,11.7,4,0.834,1.0,0,0
214,Grocery,Offer discount on Grocery,1,0,33,female,13.4,6.6,7,117.04,2,E Wallet,11.7,4.0,0.982,0,0,0
216,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,27,male,62.1,7.4,4,124.8,5,UPI,9.3,4,0.575,0.0,1,1
216,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,27,male,62.1,7.4,4,124.8,5,UPI,9.3,4,0.726,0.0,1,1
216,Laptop & Accessory,Offer discount on Laptop & Accessory,0,0,27,male,62.1,7.4,4,124.8,5,UPI,9.3,4,0.768,0.0,1,1
222,Fashion,Offer discount on Fashion,1,1,44,female,24.2,8.4,1,38.89,3,Debit Card,8.7,3,0.979,0,0,0
222,Fashion,Offer discount on Fashion,1,0,44,female,24.2,8.4,1,38.89,3,Debit Card,8.7,3,0.55,1.0,0,0
222,Fashion,Offer discount on Fashion,1,0,44,female,24.2,8.4,1,38.89,3,Debit Card,8.7,3,0.518,1.0,0,0
228,Mobile,Offer discount on Mobile,1,1,28,female,16.3,6.9,4,62.5,1,UPI,19.9,3,0.062,1.0,0,0
228,Mobile,Offer discount on Mobile,1,0,28,female,16.3,6.9,4,62.5,1,UPI,19.9,3,0.82,1.0,0,0
228,Mobile,Offer discount on Mobile,1,0,28,female,16.3,6.9,4,62.5,1,UPI,19.9,3,0.431,1.0,0,0
233,Fashion,Offer discount on Fashion,0,0,29,male,15.9,5.6,2,102.18,3,UPI,5.7,3,0.224,0.0,1,1
233,Fashion,Offer discount on Fashion,0,0,29,male,15.9,5.6,2,102.18,3,UPI,5.7,3,0.59,0.0,1,1
233,Fashion,Offer discount on Fashion,0,0,29,male,15.9,5.6,2,102.18,3,UPI,5.7,3,0.079,0.0,1,1
238,Mobile,Offer discount on Mobile,0,0,29,female,9.5,6.7,1,74.32,3,Credit Card,10.4,4,0.537,0.0,1,1
238,Mobile,Offer discount on Mobile,0,0,29,female,9.5,6.7,1,74.32,3,Credit Card,10.4,4,0.265,0.0,1,1
238,Mobile,Offer discount on Mobile,0,0,29,female,9.5,6.7,1,74.32,3,Credit Card,10.4,4,0.281,0.0,1,1
242,Grocery,Offer discount on Grocery,1,1,42,female,14.0,6.9,6,68.19,1,Credit Card,7.4,3,0.995,0,0,0
242,Grocery,Offer discount on Grocery,1,0,42,female,14.0,6.9,6,68.19,1,Credit Card,7.4,3,0.664,1.0,0,0
242,Grocery,Offer discount on Grocery,1,0,42,female,14.0,6.9,6,68.19,1,Credit Card,7.4,3,0.88,0.0,0,0
243,Home & Kitchen,Offer discount on Home & Kitchen,0,0,46,non-binary,14.0,6.0,4,73.95,3,Credit Card,8.8,3,0.13,0.0,1,1
243,Home & Kitchen,Offer discount on Home & Kitchen,0,0,46,non-binary,14.0,6.0,4,73.95,3,Credit Card,8.8,3,0.267,0.0,1,1
243,Home & Kitchen,Offer discount on Home & Kitchen,0,0,46,non-binary,14.0,6.0,4,73.95,3,Credit Card,8.8,3,0.574,0.0,1,1
